date,nav
2026-01-01,222.27
2026-01-02,223.75
2026-01-05,224.74
2026-01-06,222.91
2026-01-07,223.02
2026-01-08,219.57
2026-01-09,217.0
2026-01-12,215.93
2026-01-13,215.28
2026-01-14,214.95
2026-01-16,216.14
2026-01-19,214.91
2026-01-20,209.69
2026-01-21,208.19
2026-01-22,209.47
2026-01-23,205.56
2026-01-27,206.19
2026-01-28,208.42
2026-01-29,208.01
2026-01-30,208.14
2026-02-02,207.8
2026-02-03,214.45
2026-02-04,215.63
2026-02-05,215.09
2026-02-06,215.58
2026-02-09,219.78
2026-02-10,221.47
2026-02-11,222.26
2026-02-12,221.54
2026-02-13,218.85
2026-02-16,219.91
2026-02-17,220.43
2026-02-18,221.51
2026-02-19,217.79
2026-02-20,217.62
2026-02-23,217.53
2026-02-24,215.68
2026-02-25,216.36
2026-02-26,217.35
2026-02-27,214.78
2026-03-02,211.29
2026-03-04,207.39
2026-03-05,210.75
2026-03-06,208.55
2026-03-09,204.16
2026-03-10,206.9
2026-03-11,204.01
2026-03-12,201.88
2026-03-13,197.07
2026-03-16,197.81
2026-03-17,199.77
2026-03-18,203.76
2026-03-19,197.55
2026-03-20,198.02
2026-03-23,190.69
2026-03-24,194.72
2026-03-25,199.65
2026-03-27,195.07
2026-03-30,189.6
2026-03-31,189.6
2026-04-01,193.9
2026-04-02,193.53
2026-04-06,197.12
2026-04-07,197.49
2026-04-08,207.31
2026-04-09,206.76
2026-04-10,210.2
2026-04-13,208.06
2026-04-15,213.07
2026-04-16,214.36
2026-04-17,217.01
2026-04-20,217.36
2026-04-21,218.97
2026-04-22,219.86
2026-04-23,219.31
2026-04-24,216.92
2026-04-27,220.3
2026-04-28,219.0
2026-04-29,218.91
2026-04-30,217.06
2026-05-04,219.89
2026-05-05,220.04
2026-05-06,224.67
2026-05-07,227.04
2026-05-08,227.68
2026-05-11,224.91
2026-05-12,218.21
2026-05-13,218.04
2026-05-14,221.0
2026-05-15,219.68
2026-05-18,218.47
2026-05-19,220.34
2026-05-20,220.8
2026-05-21,221.57
2026-05-22,221.76
2026-05-25,224.31
2026-05-26,224.62
2026-05-27,224.88
2026-05-29,222.36
2026-06-01,219.7
2026-06-02,221.03
2026-06-03,220.3
2026-06-04,221.95
2026-06-05,222.51
2026-06-08,219.68
2026-06-09,222.97
2026-06-10,219.98
2026-06-11,217.87
2026-06-12,223.7
2026-06-15,228.42
2026-06-16,229.99
2026-06-17,231.24
2026-06-18,233.53
2026-06-19,234.86
2026-06-22,235.01
2026-06-23,233.81
2026-06-24,235.95
2026-06-25,235.25
2026-06-29,235.55
2026-06-30,237.1
2026-07-01,239.37
2026-07-02,240.6
2026-07-03,241.36
2026-07-06,243.04
2026-07-07,241.55
2026-07-08,237.34
2026-07-09,241.2
2026-07-10,243.45
2026-07-13,242.69
2026-07-14,240.27
2026-07-15,241.86
2026-07-16,240.92
2026-07-17,240.76
2026-07-20,240.95
2026-07-21,242.77
2026-07-22,239.85
2026-07-23,237.87
2026-07-24,236.65
2026-07-27,240.48
2026-07-28,240.39
2026-07-29,242.08
2026-07-30,240.22
2026-07-31,240.52
2026-08-03,245.43
2026-08-04,243.73
2026-08-05,243.86
2026-08-06,243.34
2026-08-07,243.44
2026-08-10,244.21
2026-08-11,243.34
2026-08-12,243.06
2026-08-13,243.67
2026-08-14,242.22
2026-08-17,242.25
2026-08-18,243.10
2026-08-19,242.05
2026-08-20,243.64
2026-08-21,243.87
2026-08-24,244.15
