date,nav
2026-01-01,113.9116
2026-01-02,114.6253
2026-01-05,114.4763
2026-01-06,113.9835
2026-01-07,114.9269
2026-01-08,113.7923
2026-01-09,113.2379
2026-01-12,112.7175
2026-01-13,112.3857
2026-01-14,112.087
2026-01-16,112.0791
2026-01-19,111.7642
2026-01-20,109.7724
2026-01-21,107.9135
2026-01-22,107.8337
2026-01-23,105.2749
2026-01-27,105.3361
2026-01-28,106.4244
2026-01-29,106.5496
2026-01-30,105.874
2026-02-02,105.5445
2026-02-03,109.076
2026-02-04,109.1999
2026-02-05,108.0524
2026-02-06,107.6683
2026-02-09,109.9484
2026-02-10,110.2109
2026-02-11,109.4638
2026-02-12,108.6828
2026-02-13,106.4226
2026-02-16,107.2624
2026-02-17,107.264
2026-02-18,107.5889
2026-02-19,105.3975
2026-02-20,105.4926
2026-02-23,104.7282
2026-02-24,102.8287
2026-02-25,103.3312
2026-02-26,103.5967
2026-02-27,102.495
2026-03-02,101.3711
2026-03-04,99.8871
2026-03-05,100.5741
2026-03-06,99.6939
2026-03-09,98.5871
2026-03-10,99.5268
2026-03-11,97.5235
2026-03-12,97.0585
2026-03-13,94.8845
2026-03-16,95.4975
2026-03-17,96.876
2026-03-18,99.4352
2026-03-19,96.0741
2026-03-20,96.3556
2026-03-23,93.311
2026-03-24,95.6599
2026-03-25,97.9963
2026-03-27,95.5937
2026-03-30,92.9573
2026-03-31,92.9568
2026-04-01,95.6147
2026-04-02,95.9132
2026-04-06,98.0759
2026-04-07,98.3961
2026-04-08,103.2887
2026-04-09,103.3217
2026-04-10,104.241
2026-04-13,103.5421
2026-04-15,105.9581
2026-04-16,106.3813
2026-04-17,106.8944
2026-04-20,106.5208
2026-04-21,107.4471
2026-04-22,107.0569
2026-04-23,106.4504
2026-04-24,104.777
2026-04-27,105.3803
2026-04-28,105.5858
2026-04-29,105.8367
2026-04-30,104.8667
2026-05-04,105.3881
2026-05-05,105.2351
2026-05-06,107.4244
2026-05-07,108.2798
2026-05-08,108.6668
2026-05-11,106.7105
2026-05-12,103.5222
2026-05-13,103.7341
2026-05-14,104.8438
2026-05-15,104.7252
2026-05-18,104.8093
2026-05-19,105.9515
2026-05-20,106.352
2026-05-21,106.249
2026-05-22,105.9949
2026-05-25,107.0203
2026-05-26,107.5413
2026-05-27,107.5591
2026-05-29,106.2856
2026-06-01,104.934
2026-06-02,105.6391
2026-06-03,104.1164
2026-06-04,104.9468
2026-06-05,105.1126
2026-06-08,103.3172
2026-06-09,104.4346
2026-06-10,102.765
2026-06-11,101.7489
2026-06-12,104.5676
2026-06-15,107.7604
2026-06-16,108.2352
2026-06-17,108.9451
2026-06-18,108.8399
2026-06-19,109.0277
2026-06-22,109.4567
2026-06-23,108.0557
2026-06-24,108.4143
2026-06-25,108.3414
2026-06-29,107.8072
2026-06-30,108.5221
2026-07-01,109.2744
2026-07-02,110.107
2026-07-03,110.2185
2026-07-06,110.5037
2026-07-07,109.7658
2026-07-08,107.9814
2026-07-09,111.2113
2026-07-10,113.6371
2026-07-13,114.5375
2026-07-14,114.146
2026-07-15,115.1042
2026-07-16,114.28
2026-07-17,114.4178
2026-07-20,114.335
2026-07-21,114.5052
2026-07-22,113.6593
2026-07-23,112.3711
2026-07-24,112.2974
2026-07-27,113.7966
2026-07-28,114.8377
2026-07-29,115.8772
2026-07-30,115.3381
2026-07-31,115.7873
2026-08-03,117.602
2026-08-04,117.3579
2026-08-05,117.7453
2026-08-06,118.0613
2026-08-07,118.2721
2026-08-10,119.5753
2026-08-11,120.0045
2026-08-12,120.1428
2026-08-13,121.326
2026-08-14,120.2766
2026-08-17,120.4398
2026-08-18,120.0094
2026-08-19,120.0772
2026-08-20,121.6223
2026-08-21,121.9707
2026-08-24,121.953
2026-08-25,123.2714
2026-08-26,122.60
2026-08-27,122.72
2026-08-28,122.78
2026-08-31,123.4405

